ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"202.153.91.165","elite","AS24077","HK","Telekom Malaysia (Hong Kong) Ltd.","195","Telekom Malaysia (Hong Kong) Ltd","1080","socks4","2496","1","2023-12-12T07:31:39.613Z","99","5124","5172"
"34.64.4.99","elite","AS139070","SG","Google Asia Pacific Pte. Ltd.","286","Google LLC","80","socks5","3696","83","2023-12-12T07:31:39.618Z","100","5106","5106"
"1.55.241.4","elite","AS18403","VN","FPT Telecom Company","197","FPTDYNAMICIP","4145","socks4","3502","1","2023-12-12T07:31:36.212Z","99","5111","5185"
"51.38.231.41","elite","AS16276","FR","OVH SAS","6","OVH","80","socks4","5092","1","2023-12-12T07:31:36.217Z","56","2919","5168"
"190.114.253.210","elite","AS52368","CL","ZAM LTDA.","298","ZAM LTDA","3389","socks4","2688","1","2023-12-12T07:31:36.216Z","99","5085","5126"
"84.22.61.69","elite","AS33983","XK","Artmotion Sh.P.K.","90","Artmotion","1080","socks4","4710","2","2023-12-12T07:31:36.315Z","42","2175","5232"
"106.15.193.237","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","187","Aliyun Computing Co., LTD","8088","socks4","1999","1","2023-12-12T07:31:36.215Z","80","4123","5150"
"213.96.98.213","elite","AS3352","ES","Telefonica De Espana SAU","22","TDENET (Red de servicios IP)","15724","socks4","2411","1","2023-12-12T07:31:33.213Z","99","5033","5081"
"183.89.116.141","elite","AS45629","TH","Triple T Broadband Public Company Limited","190","Triple T Broadband Public Company Limited","4145","socks4","4702","2","2023-12-12T07:31:33.214Z","91","4704","5176"
"185.169.181.20","elite","AS34984","TR","Ates Dc","86","Ibrahim MALA trading as Ates Dc","4145","socks4","3899","1","2023-12-12T07:31:33.308Z","100","5135","5145"
"92.222.237.74","elite","AS16276","FR","OVH SAS","6","LCC LCC","8888","socks5","4903","1","2023-12-12T07:31:32.834Z","100","5156","5156"
"173.245.49.27","elite","AS13335","FR","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","2510","1","2023-12-12T07:31:32.832Z","100","5119","5119"
"45.56.112.189","elite","AS63949","US","Akamai Technologies, Inc.","97","Linode","7497","socks4","306","1","2023-12-12T07:31:32.925Z","100","5154","5156"
"178.62.63.229","elite","AS14061","GB","DigitalOcean, LLC","95","Digital Ocean","20682","socks4","1589","1","2023-12-12T07:31:32.926Z","86","4404","5127"
"185.132.230.205","elite","AS210238","IT","Dieffeitalia.it S.r.l.","92","Dieffeitalia.it S.r.l","5678","socks4","5093","1","2023-12-12T07:31:32.828Z","96","4996","5195"
"138.97.0.87","elite","AS262346","BR","FP Telecomunicacoes Ltda","220","FP Telecomunicacoes Ltda","4145","socks4","2698","1","2023-12-12T07:31:32.829Z","72","3718","5138"
"181.88.73.182","elite","AS7303","AR","Telecom Argentina S.A","253","Telecom Acceso","5678","socks4","4704","1","2023-12-12T07:31:29.410Z","100","5186","5205"
"198.27.82.161","elite","AS16276","CA","OVH SAS","88","OVH Hosting, Inc.","9050","socks5","3806","1","2023-12-12T07:31:29.429Z","100","5160","5163"
"194.12.124.188","elite","AS35816","UA","Lancom Ltd.","79","Scientific-Industrial Enterprise \"Myst\" LLC","3629","socks4","4907","1","2023-12-12T07:31:29.413Z","99","4949","5008"
"172.65.165.93","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","30000","socks4","4812","1","2023-12-12T07:31:26.114Z","100","5174","5176"
"115.242.248.226","elite","AS55836","IN","Reliance Jio Infocomm Limited","155","Reliance Jio Infocomm Limited","5678","socks4","5211","1","2023-12-12T07:31:26.017Z","93","4832","5187"
"103.135.225.202","elite","AS138871","ID","SUPERCORRIDOR","196","N/A","4153","socks5","3200","1","2023-12-12T07:31:26.015Z","77","3906","5071"
"50.63.26.13","elite","AS398101","US","GoDaddy.com, LLC","195","GoDaddy.com, LLC","53887","socks4","3889","1","2023-12-12T07:31:25.925Z","100","5168","5170"
"123.25.116.228","elite","AS45899","VN","VietNam Post and Telecom Corporation","200","Vietnam Posts and Telecommunications Group","1080","socks4","3601","1","2023-12-12T07:31:25.928Z","92","4792","5202"
"139.162.100.214","elite","AS63949","JP","Akamai Technologies, Inc.","287","Linode, LLC","18199","socks4","4095","1","2023-12-12T07:31:22.411Z","98","5001","5107"
"177.38.5.172","elite","AS52964","BR","FÔBIO MENDES DIAS LTDA ME","197","FÁBIO MENDES DIAS LTDA ME","4153","socks4","2793","1","2023-12-12T07:31:22.524Z","96","4952","5134"
"159.203.105.85","elite","AS14061","US","DigitalOcean, LLC","85","Digital Ocean","7497","socks5","4102","1","2023-12-12T07:31:22.428Z","96","4951","5146"
"85.10.132.126","elite","AS20857","NL","AMEN Networks","81","N/A","3128","http","302","3792","2023-12-12T07:31:22.431Z","100","1","1"
"197.234.121.222","elite","AS33763","NA","Paratus Regional - Angola","282","Internet Technologies Namibia","8291","socks4","2592","1","2023-12-12T07:31:22.601Z","56","2898","5145"
"178.212.53.3","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","94","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","5799","1","2023-12-12T07:31:22.614Z","99","5124","5181"
"103.85.103.129","elite","AS135788","IN","Vedant Broadband","191","N/A","5678","socks4","4708","1","2023-12-12T07:31:22.512Z","99","5126","5165"
"45.119.88.118","elite","AS55507","IN","Tejays Dynamic Limited","182","Tejays Dynamic Ltd","48375","socks4","4606","1","2023-12-12T07:31:22.513Z","27","1394","5104"
"190.104.148.250","elite","AS27895","PY","Núcleo S.A.","295","Núcleo S.A","8080","socks4","4011","1","2023-12-12T07:31:22.430Z","79","4064","5158"
"103.120.49.99","elite","AS135406","AU","BCD NETWORKS PTY LTD","294","BCD NETWORKS PTY LTD","8080","socks4","5098","1","2023-12-12T07:31:22.409Z","99","5033","5104"
"78.186.111.34","elite","AS9121","TR","TurkTelecom","92","N/A","1080","socks4","273","1","2023-12-12T07:31:22.609Z","95","4888","5169"
